Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
26-12-2015,21,31.8,27.3,78,0.1,5.7,3,10,,
27-12-2015,22,32.4,27.2,87,0.1,6.8,2,20,,
28-12-2015,21,32.2,26.5,87,0,5.3,2,80,,
29-12-2015,22,31.2,26.9,90,0,5.8,2,37,,
30-12-2015,21,30.8,26.8,88,0,5,3,20,,
31-12-2015,23,30.9,27.3,88,0,4,2,20,,
01-01-2016,21,31.2,27.5,89,4.1,2.3,2,62,,
02-01-2016,22,31.8,27.2,87,0,1,3,35,,
03-01-2016,21,31.6,26.5,91,0.5,1,3,40,,
04-01-2016,22,31.2,26.2,88,0,6.6,3,85,,
05-01-2016,21,31.2,26.2,91,0,3.8,2,320,,
06-01-2016,20,31.2,26.1,89,0,7.5,3,280,,
07-01-2016,21,31.2,27,82,0,4.8,3,70,,
08-01-2016,21,31.2,27.2,82,0,6.4,2,100,,
09-01-2016,22,32,26.6,88,0,7.9,3,49,,
10-01-2016,22,31.8,27.7,82,0,7.9,3,49,,
11-01-2016,22,30.6,26.6,92,0.5,3.4,2,175,,
12-01-2016,20,29.8,26.8,93,0.5,1.1,2,50,,
13-01-2016,22,30.6,27.3,89,1.6,0.4,3,169,,
14-01-2016,22,32.3,27.1,91,0.5,1.1,2,75,,
15-01-2016,23,32.8,27.9,85,0,6,3,75,,
16-01-2016,22,32.6,27.8,85,0,1,3,30,,
17-01-2016,23,32,27.8,86,0,7.5,3,24,,
18-01-2016,23,32,27.1,91,0,0.7,2,175,,
19-01-2016,23,32.6,28.1,90,0.2,1.4,3,65,,
20-01-2016,20,35,27.5,84,0,7.2,3,65,,
21-01-2016,22,31,26.5,90,5.6,7.8,3,198,,
22-01-2016,22,31.4,27,93,4.8,1.4,4,25,,
23-01-2016,23,31.4,26.4,92,1.9,3.6,2,50,,
24-01-2016,22,28.8,25.9,94,5.3,3.1,3,31,,
25-01-2016,22,30.9,26.5,98,0.3,1,4,40,,
26-01-2016,21,29,25.8,94,1.9,5.4,2,28,,
